,Comment,Class,preprocessing_result
180,"You guys should check out this EXTRAORDINARY website called FIREPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at FIREPA.COM !   Visit FIREPA.COM and check it out!   Lake   . Chillpal . Sturdy . Astauand . Johackle . Chorenn . Ethosien . Changeable . Public . Noxu . Ploosnar . Looplab . Hoppler . Delicious . False . Scitenoa . Locobot . Heartbreaking . Thirsty . Reminiscent",1,guy check extraordinary website called firepacom make money online start working home today making per month firepacom visit firepacom check lake chillpal sturdy astauand johackle chorenn ethosien changeable public noxu ploosnar looplab hoppler delicious false scitenoa locobot heartbreaking thirsty reminiscent
181,subscribed :) btw you have a good style keep it up brother :)),1,subscribed btw good style keep brother
182,check out you tube keithlinscotts one word keithlinscotts you tube .com,1,check tube keithlinscotts one word keithlinscotts tube com
183,adam b beats check out my page,1,adam b beat check page
184,"I hope everyone is in good spirits I&#39;m a hard working student who&#39;s also a passionate singer I look foward to the day when I can make my own music to share But for now I&#39;ve just been doing covers. Check out my channel, I&#39;ve done Covers of Miley Cyrus, Imagine Dragons, Lana Del Rey, Drake, Macklemore, Pink and countless others.  Subscribe only if you want to. My goal isn&#39;t to become famous but to  inspire FYI this isn&#39;t spamming, everyone has a right to freedom of speech. Thanks ",1,hope everyone good spirit im hard working student who also passionate singer look foward day make music share ive cover check channel ive done cover miley cyrus imagine dragon lana del rey drake macklemore pink countless others subscribe want goal isnt become famous inspire fyi isnt spamming everyone right freedom speech thanks
185,"Listen...Check out Andrew Guasch - Crazy, Sick Flow...I&#39;m dope....that&#39;s all there is too it. If you like it Subscribe, if not, Ill be with Aftermath of TDE Soon enough.  One Love,  Peace.",1,listencheck andrew guasch crazy sick flowim dopethats like subscribe ill aftermath tde soon enough one love peace
186,  Check out my SEXY VIDEO :*,1,check sexy video
187,ayyy can u guys please check out my rap video im 16 n im juss tryna get some love please chrck it out an thank u,1,ayyy u guy please check rap video im n im juss tryna get love please chrck thank u
188,"yo I know nobody will probably even read this..  But I’m gonna type it any way because i hope at least one person will  i&#39;m a rapper with a dream. I know there&#39;s like 200k of those in this world  but please check out my music and subscribe? if you want.? thanks,  I would love nothing more than to have a decent following on youtube..  if anyone? reading this could press the &quot;THUMBS UP&quot; other people will see it  just a simple button press? could make my dream come true =) Thank You",1,yo know nobody probably even read ’ gon na type way hope least one person im rapper dream know there like k world please check music subscribe want thanks would love nothing decent following youtube anyone reading could press quotthumbs upquot people see simple button press could make dream come true thank
189,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!   Lake   . Magnificent . Noodile . Unequaled . Moderock . Gogopo . Lulerain . Olielle . Zesty . Laughable . Accidental . Pepelexa . Delightful . Wiry . Toogit . Uncovered . Chesture . Woozy . Adhoc . Weak . Shallow",1,guy check extraordinary website called moneygqcom make money online start working home today making per month moneygqcom visit moneygqcom check lake magnificent noodile unequaled moderock gogopo lulerain olielle zesty laughable accidental pepelexa delightful wiry toogit uncovered chesture woozy adhoc weak shallow
190,"GUYS SHARE THIS VIDEO!!!!!  HE must have 1.000.000.000 views  Share on Facebook, groups, pages!!",1,guy share video must view share facebook group page
191,Check out my videos guy! :) Hope you guys had a good laugh :D,1,check video guy hope guy good laugh
192,I agree they are just damn spammers. They suck. Im trying to do the same and get known. I know the feeling. I will help you out and leave likes and comments on your page. I hope you could do the same and maybe subscribe to me that would be awesome thanks,1,agree damn spammer suck im trying get known know feeling help leave like comment page hope could maybe subscribe would awesome thanks
193,"Hey everyone, I&#39;m Dakoda Bigelow.  I&#39;m a 17 year old singer, rapper and producer.  I&#39;ve gained over 490,000 views so far but I really need more views, likes and subscribers in order to make it.  Check out my brand new music video for my song So Gone!  Also check out my new song called Deaf.  A few moments of your time would be greatly appreciated and you won&#39;t regret it :)  Please thumbs this up so more people can see it!  Thanks for the support.",1,hey everyone im dakoda bigelow im year old singer rapper producer ive gained view far really need view like subscriber order make check brand new music video song gone also check new song called deaf moment time would greatly appreciated wont regret please thumb people see thanks support
194,if eminem gets 1 penny per view he would have 600 million dollars,1,eminem get penny per view would million dollar
195, HI IM 14 YEAR RAPPER SUPPORT ME GUY AND CHECK OUT MY CHANNEL AND CHECK OUT MY SONG YOU MIGHT LIKE IT ALSO FOLLOW ME IN TWITTER @McAshim for follow back.,1,hi im year rapper support guy check channel check song might like also follow twitter mcashim follow back
196,"I know that maybe no one will read this but PLEASE TYPE IN &quot;deazy99&quot; I&#39;m a rapper with a dream. I know you must see like millions of those on here everyday but please check out my music and subscribe if you&#39;d like thank you, i would love nothing more than to have a decent following on youtube from people if anyone reading this could give it a &quot;THUMBS UP&quot; because what some might see as just a simple button press could make my dream come true..thank you again for your time &amp; may god bless you",1,know maybe one read please type quotdeazyquot im rapper dream know must see like million everyday please check music subscribe youd like thank would love nothing decent following youtube people anyone reading could give quotthumbs upquot might see simple button press could make dream come truethank time amp may god bless
197,"••••►►My name is George and let me tell u EMINEM is my idol my inspiration, I&#39;ve listen to him growing up, I never thou I would love rap this much But I thank him for helping me find my dream. So I rap now and make YouTube videos and yesterday I covered the song Mockingbird it&#39;s in my channel I worked really hard on it and it&#39;s one of my favorite songs of Him. So please go check it out and subscribe it would mean the world to me n sorry for the spam ◄◄••­•• don&#39;t hate I&#39;m not Eminem",1,••••►►my name george let tell u eminem idol inspiration ive listen growing never thou would love rap much thank helping find dream rap make youtube video yesterday covered song mockingbird channel worked really hard one favorite song please go check subscribe would mean world n sorry spam ◄◄••­•• dont hate im eminem
198,┏━━━┓┏┓╋┏┓┏━━━┓┏━━━┓┏┓╋╋┏┓  ┃┏━┓┃┃┃╋┃┃┃┏━┓┃┗┓┏┓┃┃┗┓┏┛┃  ┃┗━━┓┃┗━┛┃┃┃╋┃┃╋┃┃┃┃┗┓┗┛┏  ┗━━┓┃┃┏━┓┃┃┗━┛┃╋┃┃┃┃╋┗┓┏┛  ┃┗━┛┃┃┃╋┃┃┃┏━┓┃┏┛┗┛┃╋╋┃┃  ┗━━━┛┗┛╋┗┛┗┛╋┗┛┗━━━┛╋╋┗┛ CHECK MY VIDEOS AND SUBSCRIBE AND LIKE PLZZ,1,┏━━━┓┏┓╋┏┓┏━━━┓┏━━━┓┏┓╋╋┏┓ ┃┏━┓┃┃┃╋┃┃┃┏━┓┃┗┓┏┓┃┃┗┓┏┛┃ ┃┗━━┓┃┗━┛┃┃┃╋┃┃╋┃┃┃┃┗┓┗┛┏ ┗━━┓┃┃┏━┓┃┃┗━┛┃╋┃┃┃┃╋┗┓┏┛ ┃┗━┛┃┃┃╋┃┃┃┏━┓┃┏┛┗┛┃╋╋┃┃ ┗━━━┛┗┛╋┗┛┗┛╋┗┛┗━━━┛╋╋┗┛ check video subscribe like plzz
199," Hey youtubers... {**}I really appreciate all of you who took the time, to read this, I am just a 19 year old boy who wants to be a successful musician in the           music world. {**}I dont have any money to advertise my channel, {**}If you could just visit my channel, comment on my video or subscribe, that would be great.... {**}It will only be few seconds of your life..... {**}Thank u to all the people who just gave me a chance l really appreciate it ",1,hey youtubers really appreciate took time read year old boy want successful musician music world dont money advertise channel could visit channel comment video subscribe would great second life thank u people gave chance l really appreciate
200,if you need youtube subscriber mail hermann buchmair on fb,1,need youtube subscriber mail hermann buchmair fb
201,check out my channel for rap and hip hop music,1,check channel rap hip hop music
202,"HEY GUYS!!! ❤❤❤❤❤❤❤  BEFORE YOU IGNORE ME, PLEASE, GIVE ME A CHANCE!  My name is Yuliya, I make COVERS. I started getting serious with Youtube September of 2013 because that’s Great challenge to myself. MY DREAM was to become a singer. Youtube helps me keep up! If you can please give me a chance and THUMBS THIS COMMENT UP so more people can see it. I swear I&#39;ll appreciate it. SUBSCRIBE PLEASE!!!  ❤❤❤ LOVE YOU!!! ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤ XOXO ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤ ",1,hey guy ❤❤❤❤❤❤❤ ignore please give chance name yuliya make cover started getting serious youtube september ’ great challenge dream become singer youtube help keep please give chance thumb comment people see swear ill appreciate subscribe please ❤❤❤ love ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤ xoxo ❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤
203,Check Out The New Hot Video By Dante B Called Riled Up,1,check new hot video dante b called riled
204,"YO GUYS SORRY IF THIS ANNOYS YOU!!! BUT CHECK OUT MY CHANNEL, AND LATEST VIDEO. A LIKE AND SUBSCRIBE WOULD BE NICE TOO!!!!!!!",1,yo guy sorry annoys check channel latest video like subscribe would nice
205,im M.E.S an aspiring young rapper with high hopes.  i know you will not click this link and check out my channel. you just dont want to.  well its your choice. in fact you know what DONT CLICK,1,im me aspiring young rapper high hope know click link check channel dont want well choice fact know dont click
206,"My friends wife earns 4000DOLLARS a month ,you can do it do if you want to be a wwhore ,you can not get these type of wages for working from home on a PC taking surveys ...dont believe that shit,just because yahoo and other are taking their money does not mean they are LEGIT ..Please like this so the MSG gets thru to vulnerable  people Like eminem used to be ",1,friend wife earns dollar month want wwhore get type wage working home pc taking survey dont believe shitjust yahoo taking money mean legit please like msg get thru vulnerable people like eminem used
207,subscribe to my channel who can,1,subscribe channel
208,Check out our cover of this song!,1,check cover song
209,CHECK OUT MY MUSIC VIDEO ON MY CHANEL!!!,1,check music video chanel
210,please read this please! i am a country singer who is trying to become someone. so if you would like my videos please. just type... boys round here by country girl (only on computer) wasting all these tears e.t. please subscribe and like,1,please read please country singer trying become someone would like video please type boy round country girl computer wasting tear et please subscribe like
211,CHECK OUT Eminem - Rap God LYRIC VIDEO,1,check eminem rap god lyric video
212,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  Why does the innocent woman prioritize the desire? The flight searchs the sad polish. When does the tax zip the omniscient record?",1,guy check extraordinary website called moneygqcom make money online start working home today making per month moneygqcom visit moneygqcom check innocent woman prioritize desire flight search sad polish tax zip omniscient record
213,Go check out eminem survival.,1,go check eminem survival
214,Tell us the title so i can like and subscribe your music fgw please,1,tell u title like subscribe music fgw please
215,Check out my channel please.,1,check channel please
216,check out eminem latest track survival if u didnt,1,check eminem latest track survival u didnt
217,CHECK OUT MY YOUTUBE VIDEOS FOR FUNNY AND COOL RAP,1,check youtube video funny cool rap
218,Share this video.. This song can beat PSY - Gangnam Style!,1,share video song beat psy gangnam style
219,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  Why does the wood photograph the husky breath? When does the act retain the delightful system? The rhythm fabricates the scintillating harbor.",1,guy check extraordinary website called moneygqcom make money online start working home today making per month moneygqcom visit moneygqcom check wood photograph husky breath act retain delightful system rhythm fabricates scintillating harbor
220,This guy win dollars sleeping... m m m he loves the planet its full of RETARDS,1,guy win dollar sleeping love planet full retard
221,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!   Lake   . Ignorant . Wavefire . Reiltas . Astauand . Skizzle . Jovaphile . Swooflia . Grynn . Excellent . Slimy . Gabby . Nalpure . Lucky . Glozzom . Depressed . Better . Deep . Sinpad . Stereotyped . Toximble",1,guy check extraordinary website called moneygqcom make money online start working home today making per month moneygqcom visit moneygqcom check lake ignorant wavefire reiltas astauand skizzle jovaphile swooflia grynn excellent slimy gabby nalpure lucky glozzom depressed better deep sinpad stereotyped toximble
222,could you guys please check out my channel for hiphop beats?,1,could guy please check channel hiphop beat
223,check out my playlist,1,check playlist
224,  Eminem is the king of rap  Micheal Jackson is the king of pop  If you also wanna go hard and wanna be the person of first class fame just check out Authenticviews*com and be famous just within days !! yO ~,1,eminem king rap micheal jackson king pop also wan na go hard wan na person first class fame check authenticviewscom famous within day yo
225,"Hello to everyone! Please check out my video: /watch?v=2b4WyWpHi8c It takes just 2 minutes, hope I don&#39;t ask too much. If you can&#39;t help me just Like &amp; Share the video please, so more people will see it. Thumbs UP, it would mean so much to me, maybe will make my dream come true. Thanks to everyone, GOD BLESS YOU ALL!",1,hello everyone please check video watchvbwywphic take minute hope dont ask much cant help like amp share video please people see thumb would mean much maybe make dream come true thanks everyone god bless
226,all u should go check out j rants vi about eminem,1,u go check j rant vi eminem
227,Check Out The New Hot Video By Dante B Called Riled Up,1,check new hot video dante b called riled
228,hello friends. i am a young 15 year old rapper trying to make something out of nothing..Please can you take a second of your life and check out my videos and help me reach my Dreams! GoD Bless YOU,1,hello friend young year old rapper trying make something nothingplease take second life check video help reach dream god bless
229,Check out Berzerk video on my channel ! :D,1,check berzerk video channel
230,Check out my channel for funny skits! Thanks!,1,check channel funny skit thanks
231,Subscribe to me for clean Eminem!,1,subscribe clean eminem
232,CHECK OUT THESE LYRICS /watch?v=yUTTX04oyqQ,1,check lyric watchvyuttxoyqq
233,subscribe me if u love eminem,1,subscribe u love eminem
234,"This past Christmas my dad passed away, to help me cope I picked up a pen and some paper and started to write. Little did I know nearly 9 months ago that it would bring me where i&#39;m at today. Over 7k subscribers and 500k video views. I just wrote and released a song yesterday about a friend of mine who has tried to commit suicide several times, I can&#39;t promise you professionally produced music, but I can promise REAL lyrics. Just click on my picture. Thanks, and thumbs up so others may see?",1,past christmas dad passed away help cope picked pen paper started write little know nearly month ago would bring im today k subscriber k video view wrote released song yesterday friend mine tried commit suicide several time cant promise professionally produced music promise real lyric click picture thanks thumb others may see
235,Lil m !!!!! Check hi out!!!!! Does live the way you lie and many more ! Check it out!!! And subscribe,1,lil check hi live way lie many check subscribe
236,Hey if you guys wouldnt mind...could you check out my boys and my music...we just made a real lyrical song...search DNA Andrew Guasch...I appreciate it. Leave some real feedback and keep Hip-Hop alive,1,hey guy wouldnt mindcould check boy musicwe made real lyrical songsearch dna andrew guaschi appreciate leave real feedback keep hiphop alive
237,"EVERYONE GO AND SHARE youtu  be/ARkglzjQuP0 ON FB,TWITTER,G+ TO VOTE FOR EMINEM TO BECOME ARTIST OF THE YEAR ON FIRST EVER YOUTUBE MUSIC AWARDS !!!  AND GET THIS METHOD TO CHEAT AT INTERNET ROULETTE OUT OF EMINEMS VIDEO ! SHADY ARTIST OF THE YEAR !",1,everyone go share youtu bearkglzjqup fbtwitterg vote eminem become artist year first ever youtube music award get method cheat internet roulette eminems video shady artist year
238,Hi Guys im an Upcoming Rapper if you could check out my channel and tell me what you think maybe subscribe or like i would really appreciate it all HATERS are welcome to :) thanks,1,hi guy im upcoming rapper could check channel tell think maybe subscribe like would really appreciate hater welcome thanks
239,dude check out psy,1,dude check psy
240,hey guys i know its annoying getting spammed sorry bout that but please take a moment to check out my channel  IM A RAPPER with DECENT skills. i want to share my music with more people so take a listen   THUMBS UP SO MORE CAN SEE THIS,1,hey guy know annoying getting spammed sorry bout please take moment check channel im rapper decent skill want share music people take listen thumb see
241,check out my new EM cover video trailer,1,check new em cover video trailer
242,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at ZONEPA.COM !   Visit Zonepa.com and check it out!  Why does the answer rehabilitate the blushing limit? The push depreciateds the steel. How does the beautiful selection edit the range?",1,guy check extraordinary website called zonepacom make money online start working home today making per month zonepacom visit zonepacom check answer rehabilitate blushing limit push depreciateds steel beautiful selection edit range
243,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! How does the war illustrate the exclusive space? The mountain refers the helpless death. The tax reviews the special music.",1,guy check extraordinary website called zonepacom make money online start working home today making per month zonepacom visit zonepacom check war illustrate exclusive space mountain refers helpless death tax review special music
244,Look and shares my video please :D,1,look share video please
245,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  The metal drews the reflective effect. Why does the expansion intervene the hilarious bit? The sneeze witnesss the smoke.",1,guy check extraordinary website called moneygqcom make money online start working home today making per month moneygqcom visit moneygqcom check metal drew reflective effect expansion intervene hilarious bit sneeze witness smoke
246,do you want to make some easy money? check out my page tvcmcadavid.weebly . com dont miss out on this opportunity,1,want make easy money check page tvcmcadavidweebly com dont miss opportunity
247,Check out my channel to see Rihanna short mix by me :),1,check channel see rihanna short mix
248,CHECK OUT MY COVER OF LOVE THE WAY YOU LIE PLEASE!!,1,check cover love way lie please
249,YO GUYS IM 14 YEAR OLD RAPPER JUST STARTED RAPPING  SO PLEASE CHECK OUT MY SITE AND LEAVE FEEDBACK AND SUBSCRIBE  ALSO LIKE THIS COMMENT SO MORE CAN SEE AND MAKE MY CHANNEL BIG ASWELL,1,yo guy im year old rapper started rapping please check site leave feedback subscribe also like comment see make channel big aswell
250,Check out my channel for some lyricism.....,1,check channel lyricism
251, subscribe to my feed,1,subscribe feed
252,Hay dakota u earned a subscribee,1,hay dakota u earned subscribee
253,RIHANNA - POUR IT UP (VINCENT T. REMIX) RIHANNA - POUR IT UP (VINCENT T. REMIX) RIHANNA - POUR IT UP (VINCENT T. REMIX) RIHANNA - POUR IT UP (VINCENT T. REMIX) RIHANNA - POUR IT UP (VINCENT T. REMIX) RIHANNA - POUR IT UP (VINCENT T. REMIX) RIHANNA - POUR IT UP (VINCENT T. REMIX) RIHANNA - POUR IT UP (VINCENT T. REMIX) RIHANNA - POUR IT UP (VINCENT T. REMIX)  CLICK! SUBSCRIBE!,1,rihanna pour vincent remix rihanna pour vincent remix rihanna pour vincent remix rihanna pour vincent remix rihanna pour vincent remix rihanna pour vincent remix rihanna pour vincent remix rihanna pour vincent remix rihanna pour vincent remix click subscribe
254,"Usually guys I would vote people like this down but actually check out his channel, it reminds me of a smaller version of 8 mile. Give this guy a chance since everyone has to start somewhere!",1,usually guy would vote people like actually check channel reminds smaller version mile give guy chance since everyone start somewhere
255,"hey guy if you can please SUBSCRIBE to my channel im a young dedicated rapper i post videos everyday to improve  i write/perform/record/mix/edit/post everyday  i do a verse everyday (16 bars)to improve i&#39;m doing it for 365 days a whole year to improve right now i&#39;m on day 46  if you guys can please like this comment so everyone can see it and follow me on my journey/watch me improve everyday SUBSCRIBE PLEASE I&#39;m lyrical and i keep it real  help me reach my dream,help me build a fan base,THANKS(:",1,hey guy please subscribe channel im young dedicated rapper post video everyday improve writeperformrecordmixeditpost everyday verse everyday barsto improve im day whole year improve right im day guy please like comment everyone see follow journeywatch improve everyday subscribe please im lyrical keep real help reach dreamhelp build fan basethanks
256,"Hey? Everyone Please take a moment to read this. I work my ass off hoping to make it into the music industry but its hard to? get people to hear you when you don’t have money for advertisements and exposure I am a Young Artist who has dreams and goals like everybody else Please take 30 seconds and visit my channel You don’t have to like? me, just give me a chance to prove my talent Also, please take just 1 second of your life and Thumb this comment up it would be Super Helpful.",1,hey everyone please take moment read work as hoping make music industry hard get people hear ’ money advertisement exposure young artist dream goal like everybody else please take second visit channel ’ like give chance prove talent also please take second life thumb comment would super helpful
257,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! How does the burst render the symptomatic bite? The knowledge briefs the narrow thought. How does the eager sky transmit the crush?",1,guy check extraordinary website called zonepacom make money online start working home today making per month zonepacom visit zonepacom check burst render symptomatic bite knowledge brief narrow thought eager sky transmit crush
258,"I know that maybe no one will read this but PLEASE TYPE IN &quot;deazy99&quot; I&#39;m a rapper with a dream. I know you must see like millions of those on here everyday but please check out my music and subscribe if you&#39;d like thank you, i would love nothing more than to have a decent following on youtube from people if anyone reading this could give it a &quot;THUMBS UP&quot; because what some might see as just a simple button press could make my dream come true..thank you again for your time &amp; may god bless you",1,know maybe one read please type quotdeazyquot im rapper dream know must see like million everyday please check music subscribe youd like thank would love nothing decent following youtube people anyone reading could give quotthumbs upquot might see simple button press could make dream come truethank time amp may god bless
259,e.e....everyone could check out my channel.. dundundunnn,1,eeeveryone could check channel dundundunnn
260,SUBSCRIBE TO MY CHANNEL X PLEASE!. SPARE,1,subscribe channel x please spare
261,▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬ CHECK OUT MY CHANNEL ▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬,1,▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬ check channel ▬▬▬▬▬▬▬▬▬▬ஜ۩۞۩ஜ▬▬▬▬▬▬▬▬
262,Do you need more instagram followers or photo likes? Check out IGBlast.com and get em in minutes!,1,need instagram follower photo like check igblastcom get em minute
263,Check out my channel im 15 year old rapper!,1,check channel im year old rapper
264,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at ZONEPA.COM ! Visit Zonepa.com and check it out! The loud authority improves the canvas. When does the mother repair the uppity learning? The substantial cook derives the harbor.",1,guy check extraordinary website called zonepacom make money online start working home today making per month zonepacom visit zonepacom check loud authority improves canvas mother repair uppity learning substantial cook derives harbor
265,Check out my mummy chanel!,1,check mummy chanel
266,/watch?v=aImbWbfQbzg watch and subscrible,1,watchvaimbwbfqbzg watch subscrible
267,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!   Lake   . Victorious . Luxuriant . Alcoholic . Responsible . Unbiased . Yoffa . Ociramma . Ociramma . Handsome . Arrowgance . Mizuxe . Boaconic . Sophisticated . Ill-fated . Spourmo . Chubby . Hioffpo . Probable . Singlewave",1,guy check extraordinary website called moneygqcom make money online start working home today making per month moneygqcom visit moneygqcom check lake victorious luxuriant alcoholic responsible unbiased yoffa ociramma ociramma handsome arrowgance mizuxe boaconic sophisticated illfated spourmo chubby hioffpo probable singlewave
268,if u love rihanna subscribe me,1,u love rihanna subscribe
269,if u love rihanna subscribe me,1,u love rihanna subscribe
270,eminem new song check out my videos,1,eminem new song check video
271,"Hi I&#39;m lil m !!! Check out love the way you lie!!!! My live performance and many others,,, videos and my own lyrics!!!!! Thanks",1,hi im lil check love way lie live performance many others video lyric thanks
272,"Wow justin Bieber is Better  thats why when he buys medication he always shares with his half wited money alfred but sadly enough he is an attention hog with swamp ass and an eating disorder filled with sassy mice, and flaming hot cheetos that he can eat with the power of the samurman.",1,wow justin bieber better thats buy medication always share half wited money alfred sadly enough attention hog swamp as eating disorder filled sassy mouse flaming hot cheetos eat power samurman
273,"Please check out my youtube channel! Just uploaded my first youtube video please check it out, you will not regret it!",1,please check youtube channel uploaded first youtube video please check regret
274,everyone come and check out the new GTA 5 Gameplay right Here : /watch?v=6_H0m5sAYho,1,everyone come check new gta gameplay right watchvhmsayho
275,  Check out my SEXY VIDEO :*,1,check sexy video
276,"i been working so hard for the past 60 days to improve i been writing/recording/mixing/performing 16 bars everyday im doing it for a whole year(365 days) today i&#39;m on day 60 today i work so hard now i&#39;m doing 2 verses everyday to improve i&#39;m going all the way to 365 PLEASE SUBSCRIBE to my channel  help me build a fan base ,watch me improve,help me get closer to my dream i&#39;m lyrical and i keep it real i won&#39;t leave you down i promise(: PLEASE SUBSCRIBE please like this  commment so people can see",1,working hard past day improve writingrecordingmixingperforming bar everyday im whole year day today im day today work hard im verse everyday improve im going way please subscribe channel help build fan base watch improvehelp get closer dream im lyrical keep real wont leave promise please subscribe please like commment people see
277,"Come check out our music channel! go check out the song &quot;Love Me&quot; by J.E.M.INI! If you do you are a very amazing person, thank you to all who check it out, if you don&#39;t check it out you&#39;re still an amazing person just for reading this post",1,come check music channel go check song quotlove mequot jemini amazing person thank check dont check youre still amazing person reading post
278,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM . You can make money online and start working from home today as I am! I am making over $3,000+ per month at MONEYGQ.COM ! Visit MONEYGQ.COM and check it out! Wazzasoft Industry Sertave Wind Tendency Order Humor Unelind Operation Feandra Chorenn Oleald Claster Nation Industry Roll Fuffapster Competition Ociramma Quality",1,guy check extraordinary website called moneygqcom make money online start working home today making per month moneygqcom visit moneygqcom check wazzasoft industry sertave wind tendency order humor unelind operation feandra chorenn oleald claster nation industry roll fuffapster competition ociramma quality
279,"Finally someone shares the same opinion as me. I&#39;ve tried really hard to like Gangnam style but I just can&#39;t, I don&#39;t even get the dance either. A song like this should be more popular than Gangnam Style, at least it makes sense.",1,finally someone share opinion ive tried really hard like gangnam style cant dont even get dance either song like popular gangnam style least make sense
280,"I know that maybe no one will read this but PLEASE TYPE IN &quot;deazy99&quot; I&#39;m a rapper with a dream. I know you must see like millions of those on here everyday but please check out my music and subscribe if you&#39;d like thank you, i would love nothing more than to have a decent following on youtube from people if anyone reading this could give it a &quot;THUMBS UP&quot; because what some might see as just a simple button press could make my dream come true..thank you again for your time &amp; may god bless you",1,know maybe one read please type quotdeazyquot im rapper dream know must see like million everyday please check music subscribe youd like thank would love nothing decent following youtube people anyone reading could give quotthumbs upquot might see simple button press could make dream come truethank time amp may god bless
281,"youtube.com/watch?v=2ASFn9ShgHk&amp;feature=youtu.be  please check out my song. looking for feedback, and supporters.",1,youtubecomwatchvasfnshghkampfeatureyoutube please check song looking feedback supporter
282,check out my page ADAM B BEATS 2013,1,check page adam b beat
283,"You guys should check out this EXTRAORDINARY website called MONEYGQ.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at MONEYGQ.COM !   Visit MONEYGQ.COM and check it out!  When does the flimsy slip facilitate the manager? How does the noise set goals the anxious regret? How does the actually loss retrieve the smile?",1,guy check extraordinary website called moneygqcom make money online start working home today making per month moneygqcom visit moneygqcom check flimsy slip facilitate manager noise set goal anxious regret actually loss retrieve smile
284,Hey guys ready for more 87 Cyphers back check out my video on YouTube. NEW ALBUM IS OUT CHECK IT OUT. MORE MUSIC TOMORROW THANKS FOR READING,1,hey guy ready cypher back check video youtube new album check music tomorrow thanks reading
285,Check Out The New Hot Video By Dante B Called Riled Up,1,check new hot video dante b called riled
286,like this comment then type 1337,1,like comment type
287,"You guys should check out this EXTRAORDINARY website called ZONEPA.COM .   You can make money online and start working from home today as I am!   I am making over $3,000+ per month at ZONEPA.COM !   Visit Zonepa.com and check it out!  The jelly activates the reflective distribution. The normal top synthesizes the opinion. The victorious plant entertains the language.",1,guy check extraordinary website called zonepacom make money online start working home today making per month zonepacom visit zonepacom check jelly activates reflective distribution normal top synthesizes opinion victorious plant entertains language
288,Subscribe To Mê Please Guys,1,subscribe mê please guy
289,3 yrs ago I had a health scare but thankfully I’m okay. I realized I wasn’t living life to the fullest.  Now I’m on a mission to do EVERYTHING I’ve always wanted to do. If you found out you were going to die tomorrow would you be happy with what you’ve accomplished or would you regret not doing certain things? Sorry for spamming I’m just trying to motivate people to do the things they’ve always wanted to. If you’re bored come see what I’ve done so far! Almost 1000 subscribers and I just started!,1,yr ago health scare thankfully ’ okay realized ’ living life fullest ’ mission everything ’ always wanted found going die tomorrow would happy ’ accomplished would regret certain thing sorry spamming ’ trying motivate people thing ’ always wanted ’ bored come see ’ done far almost subscriber started
